Timestamp,1.1. What issues have you encountered with Airflow logs?,"1.1.1. Other issues, examples or clarifications:",1.2. What challenges have you been facing with Airflow's stack traces?,1.2.1. Other challenges:,1.3. How would you rate the ease of understanding stack traces in Airflow?,1.4. What improvements to Airflow’s traceback information would make debugging easier?,1.4.1. Potential improvements:,2.1. What issues have you encountered with Airflow error messages?,2.1.1. Other issues:,2.2. How would you rate the clarity & actionability of Airflow error messages?,2.3. Which of the following suggestions would improve Airflow's error handling? [1st],2.3. Which of the following suggestions would improve Airflow's error handling? [2nd],2.3. Which of the following suggestions would improve Airflow's error handling? [3rd],2.3. Which of the following suggestions would improve Airflow's error handling? [4th],2.3. Which of the following suggestions would improve Airflow's error handling? [5th],3.1. Which tools do you use to develop Airflow DAGs?,3.2. How satisfied are you with Airflow’s integration with modern debugging tools and the related documentation?,"3.3. How often do you use external tools (i.e. besides Airflow's API, UI, and CLI) to supplement Airflow's debugging capabilities?",3.4. What sort of external tools do you use in conjunction with Airflow for debugging?,3.5. What integrations or tooling improvements would you like to see in Airflow to enhance your debugging experience?,3.6. Which of the following code assistance and inspection tools do you use while developing Airflow DAGs?,4.1. What is the most time-consuming activity related to developing new DAGs? [Business logic],4.1. What is the most time-consuming activity related to developing new DAGs? [DAG authoring],4.1. What is the most time-consuming activity related to developing new DAGs? [Iteration],4.1. What is the most time-consuming activity related to developing new DAGs? [Integration],4.1. What is the most time-consuming activity related to developing new DAGs? [Maintenance],4.2 What can be improved about the workflow activities mentioned above?,4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [Business logic],4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [DAG authoring],4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [Iteration],4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [Integration],4.3. How often do you leave the Airflow UI or CLI (and rely on external tools) to achieve each of the above? [Maintenance],4.4. Which of the following additions to the Airflow UI could be useful to your debugging efforts?,4.4.1. Other suggestions:,4.5. What could make DAG.test() more useful?,4.5.1. Other suggestions:,4.6. What kind of remote Airflow environment(s) do you use?,"4.7. How would you rate the ease of debugging DAGs in a remote Airflow environment (Kubernetes, Docker, etc.)?",4.7.1. What can make debugging a remote Airflow deployment easier or more efficient?,5.1. How would you describe your proficiency level with Airflow?,5.2. What are your responsibilities in the context of using Airflow?,5.3. How would you describe your role in the context where you use Airflow most often?,6.1. Free-form feedback,"6.2. Feedback about the survey itself (length, thoroughness, relevance, etc.)"
9/3/2024 5:20:16,"Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,"Stack traces are too complex and hard to follow, Stack traces do not provide enough context about the DAG execution state",,3,color coding according to criticality,"Simplified and more readable stack traces, Integration with visualization tools to trace execution flow","Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure",,3,C,I,H,J,F,"Source code editor (e.g., VSCode, Sublime Text), Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",2,3,"Log management systems (e.g., ELK Stack, Splunk), Monitoring tools (e.g., Prometheus, Grafana), Datadog - Airflow metrics and logs monitoring",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",Most,4th,3rd,2nd,Least,,Always,Never,Sometimes,Sometimes,Rarely,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,Store/load the state of a DAG,,"Self-Managed Airflow on Kubernetes (using official Helm Chart), Managed Airflow by a cloud provider (Astronomer, AWS, Azure, GCP etc.), Bare metal or VM-based install",2,,"Beginner (made a handful of DAGs recently), Advanced (made and debugged several DAGs over the last few years), Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)","Senior team member, Technical supervisor (e.g software architect)",,
9/3/2024 6:21:40,"Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,,,3,,"Better correlation between different logs and stack traces, Inclusion of specific suggestions or hints for resolving the issue",Error messages are vague or non-specific,,3,G,E,I,D,A,Jupyter Notebooks,3,4,"Debuggers (e.g., pdb, debugpy, PyCharm)",,"Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",,,,Most,,,Often,,,Sometimes,,,,,,,,,,,Junior team member,,
9/3/2024 7:21:13,"Logs are fragmented across different systems/components, Logs are too verbose, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,Stack traces do not provide enough context about the DAG execution state,,3,,"Simplified and more readable stack traces, Better correlation between different logs and stack traces",Error messages are inconsistent across different components,,3,D,H,F,G,J,"Source code editor (e.g., VSCode, Sublime Text), Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",2,4,"Log management systems (e.g., ELK Stack, Splunk), Monitoring tools (e.g., Prometheus, Grafana)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",Least,4th,Most,2nd,3rd,,Rarely,Rarely,Often,Often,Sometimes,"Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Ability to jump into a specific task/operator with a user-provided state",,Self-Managed Airflow on Kubernetes (using official Helm Chart),2,,"Advanced (made and debugged several DAGs over the last few years), Administrator (supported Airflow installations at a platform level)","Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Technical supervisor (e.g software architect),,
9/3/2024 7:42:57,,"Windows

Plz bring it to windows...............................",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/2024 14:19:09,Logs are non-existent or missing in some cases,,Stack traces are too complex and hard to follow,,3,,"More detailed context about the state of the DAG and task at the time of failure, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages lack context or details about the failure, Error messages are inconsistent across different components",,2,C,J,A,D,E,"Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",2,4,"Debuggers (e.g., pdb, debugpy, PyCharm)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8)",Least,4th,2nd,3rd,Most,,Often,Never,Never,Never,Never,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,,2,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.)","DAG development (e.g. Data Engineer, Software Developer), Airflow monitoring & availability (e.g. SRE, DevOps)","Junior team member, Senior team member",,
9/3/2024 16:04:59,Logs are non-existent or missing in some cases,,Stack traces do not provide enough context about the DAG execution state,,4,,"More detailed context about the state of the DAG and task at the time of failure, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow",Error messages do not provide clear guidance on resolving issues,,2,D,F,G,B,H,"Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",2,5,"Debuggers (e.g., pdb, debugpy, PyCharm)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8)",4th,Least,Most,2nd,3rd,,Always,Always,Always,Always,Often,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.","Have the task instance view in the UI supply the airflow task test config params as a copyable resource like the task id. Consider that these are probably being run in an IDE and we generally need the params, not the command 
`airflow task test` # < standardized in IDE# {params} #< needed each time
","Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,"Managed Airflow by a cloud provider (Astronomer, AWS, Azure, GCP etc.), Bare metal or VM-based install",,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)","Senior team member, Technical supervisor (e.g software architect)",,
9/3/2024 18:43:09,"Logs are too verbose, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,"Stack traces are too complex and hard to follow, Stack traces do not provide enough context about the DAG execution state",,3,Improve the readability and searching of the logs using colors and other UI features.,"Simplified and more readable stack traces, More detailed context about the state of the DAG and task at the time of failure, Inclusion of specific suggestions or hints for resolving the issue, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure",,3,G,A,F,D,B,"Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",1,5,"Debuggers (e.g., pdb, debugpy, PyCharm), astro CLI",Allow full debugging of an Airflow DAG from start to finish,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint)",Most,3rd,2nd,4th,Least,Perhaps support the ability to modify a DAG from the Airflow UI specifically for debugging/testing purposes. The changes could be temporary and discarded once finished.,Always,Often,Sometimes,Always,Always,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Ability to jump into a specific task/operator with a user-provided state",,"Self-Managed Airflow on Kubernetes (using official Helm Chart), Bare metal or VM-based install",2,,Administrator (supported Airflow installations at a platform level),"DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Technical supervisor (e.g software architect),,
9/3/2024 19:01:39,,,,,5,,"Simplified and more readable stack traces, Inclusion of specific suggestions or hints for resolving the issue, Integration with visualization tools to trace execution flow",,,3,,,,,,"Source code editor (e.g., VSCode, Sublime Text)",2,2,"Log management systems (e.g., ELK Stack, Splunk), Monitoring tools (e.g., Prometheus, Grafana)",log export to Kafka,"Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",Most,3rd,Most,2nd,4th,log export to kafka,Sometimes,Rarely,Rarely,Sometimes,Sometimes,"Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,,,Bare metal or VM-based install,3,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.)","DAG development (e.g. Data Engineer, Software Developer)",Senior team member,,
9/3/2024 19:11:17,"Logs are non-existent or missing in some cases, Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",Logs for removed tasks are not visible through the UI. Cloud watch logs for AWS operators (ex. AWSBatchOperator) are not visible through the Airflow UI,,,,,"Better correlation between different logs and stack traces, Integration with visualization tools to trace execution flow",Error messages lack context or details about the failure,,2,E,F,G,D,J,"Text editor (e.g., Vim, Notepad++), Source code editor (e.g., VSCode, Sublime Text)",2,4,"Monitoring tools (e.g., Prometheus, Grafana), Tracing tools (e.g., Jaeger, Zipkin, OpenTelemetry), Debuggers (e.g., pdb, debugpy, PyCharm)",Ability to easy debug containerized (docker-compose) local Airflow stack via VS Code/Codium,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8)",4th,3rd,2nd,Most,Least,Add interface to automate connection to API endpoints & load data the same way Airbyte or River.io work,Always,Always,Rarely,Often,Never,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.)",Provide a way to access logs for tasks that no longer exist in the DAG interface. Provide a UI interface for backfilling (CLI is not available to users). Better support for debugging Airflow running in Docker via VS Code/Codium,"Mock dataset events, Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,AWS ECS,1,Better VS Code/Codium support,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Technical supervisor (e.g software architect),,
9/3/2024 19:14:10,"Logs are fragmented across different systems/components, Logs are non-existent or missing in some cases",,,,4,,,,,,,,,,,"Source code editor (e.g., VSCode, Sublime Text)",,,,"Remote Workers SetUp. Instead of TCP connections, need to go for http for connection robustness b/w remote workers and  cloud ","Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",,,Most,2nd,,,,,,,,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,,,Self-Managed Airflow on Kubernetes (using official Helm Chart),1,,Administrator (supported Airflow installations at a platform level),"DAG development (e.g. Data Engineer, Software Developer)",Senior team member,,
9/3/2024 19:14:36,"Logs are fragmented across different systems/components, Logs are too verbose",,Stack traces are too complex and hard to follow,,2,,"Simplified and more readable stack traces, More detailed context about the state of the DAG and task at the time of failure, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages do not provide clear guidance on resolving issues",,1,D,C,J,,,"Source code editor (e.g., VSCode, Sublime Text), Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",1,1,,,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8)",Least,4th,Most,3rd,2nd,,Always,Always,Often,Rarely,Sometimes,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,,Integrate with variables directory somehow,Self-Managed Airflow on Kubernetes (using official Helm Chart),2,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Technical supervisor (e.g software architect),,Too long
9/3/2024 19:16:03,"Logs are non-existent or missing in some cases, Logs are difficult to search and filter",,Stack traces do not provide enough context about the DAG execution state,,3,,"More detailed context about the state of the DAG and task at the time of failure, Inclusion of specific suggestions or hints for resolving the issue, Enhanced visibility of nested errors and their causes","Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure",,3,D,E,G,F,C,"Source code editor (e.g., VSCode, Sublime Text)",3,4,"Monitoring tools (e.g., Prometheus, Grafana)","cluster activity tab has a lot of potential, more overview capabilities of all dags","Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8)",Most,3rd,2nd,Least,4th,,Often,Sometimes,Often,Often,Sometimes,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,"Mock network requests/responses, Store/load the state of a DAG",,Self-Managed Airflow on Kubernetes (using official Helm Chart),3,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Senior team member,,
9/3/2024 19:20:37,"Logs are not verbose enough, Logs are non-existent or missing in some cases, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,Stack traces are incomplete or missing critical information,,3,,"More detailed context about the state of the DAG and task at the time of failure, Enhanced visibility of nested errors and their causes","Error messages are vague or non-specific, Error messages lack context or details about the failure",,3,C,C,C,C,C,"Source code editor (e.g., VSCode, Sublime Text)",3,1,,,,3rd,Least,Most,4th,2nd,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Mock file system queries/reads/writes, Mock dataset events, Store/load the state of a DAG",,"Managed Airflow by a cloud provider (Astronomer, AWS, Azure, GCP etc.)",1,,Advanced (made and debugged several DAGs over the last few years),"DAG development (e.g. Data Engineer, Software Developer)",Senior team member,,
9/3/2024 19:32:31,Logs are difficult to search and filter,,Stack traces do not provide enough context about the DAG execution state,,3,,"More detailed context about the state of the DAG and task at the time of failure, Enhanced visibility of nested errors and their causes",Error messages do not provide clear guidance on resolving issues,,3,B,D,G,H,J,"Source code editor (e.g., VSCode, Sublime Text)",1,1,"Monitoring tools (e.g., Prometheus, Grafana)",,"Formatters (e.g. Black, Ruff-format, autopep8)",Least,3rd,4th,2nd,Most,,Always,Always,Never,Always,Always,"An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Mock file system queries/reads/writes, Mock network requests/responses",,Bare metal or VM-based install,2,,"Advanced (made and debugged several DAGs over the last few years), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",middle devops/sre,,ok
9/3/2024 19:53:39,"Logs are fragmented across different systems/components, Logs are non-existent or missing in some cases",,"Stack traces are too complex and hard to follow, Stack traces are incomplete or missing critical information, Stack traces do not provide enough context about the DAG execution state",,3,,"More detailed context about the state of the DAG and task at the time of failure, Better correlation between different logs and stack traces, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure, Error messages are inconsistent across different components",,3,J,A,C,B,D,"Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",3,4,"Monitoring tools (e.g., Prometheus, Grafana)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",3rd,2nd,4th,Most,Least,,Often,Often,Often,Often,Often,"An integrated terminal in the UI, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Ability to jump into a specific task/operator with a user-provided state",,"Self-Managed Airflow on Kubernetes (using official Helm Chart), Managed Airflow by a cloud provider (Astronomer, AWS, Azure, GCP etc.)",3,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.), Administrator (supported Airflow installations at a platform level)","Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Senior team member,,
9/3/2024 19:55:30,"Logs are not verbose enough, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,Stack traces do not provide enough context about the DAG execution state,,3,,"More detailed context about the state of the DAG and task at the time of failure, Inclusion of specific suggestions or hints for resolving the issue, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow",Error messages lack context or details about the failure,,3,D,E,J,G,A,"Source code editor (e.g., VSCode, Sublime Text)",3,3,"Debuggers (e.g., pdb, debugpy, PyCharm)","Clarification and more detailed documentation on how setup airflow variables/connections for debugging (dag.test()) sessions. Currently there are a lot of options, airflow cli, yaml, json, .env etc, but none of them documented enough. For example how to init/mock airflow vars/conn for debug session to use them before DAG will be executed (for example to use variables in DAG decorator parameters).","Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",3rd,4th,2nd,Most,,"For me working with vars/conn in debug sessions is most painfull, because airflow cli doesn't work as expected, with astro cli I used airflow_settings.yml, but airflow cli doesn't understand that format, in docs there are a couple of other formats like yml/json, airflow.cfg or smth like that to define variables and connections, but they are not consistent to each other and not documented well enough",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), Ability to package the code and necessary debugging context to allow reproducing the issue on another airflow instance, to facilitate bug reports and help requests.",,,,"Managed Airflow by a cloud provider (Astronomer, AWS, Azure, GCP etc.)",2,integrated console to at least inspect  env variables and file system,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.)","DAG development (e.g. Data Engineer, Software Developer), Airflow monitoring & availability (e.g. SRE, DevOps)","Senior team member, Technical supervisor (e.g software architect)",,
9/3/2024 19:56:38,"Logs are non-existent or missing in some cases, Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,,,3,,"Better correlation between different logs and stack traces, Inclusion of specific suggestions or hints for resolving the issue, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages are inconsistent across different components",,2,D,F,G,C,J,"Source code editor (e.g., VSCode, Sublime Text)",1,4,"Log management systems (e.g., ELK Stack, Splunk), Debuggers (e.g., pdb, debugpy, PyCharm)",Extension for vs code for parsing dags ,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8), Auto-completion and AI tools (e.g. Copilot, IntelliSense, Cursor)",4th,3rd,Most,2nd,Least,,Always,Often,Rarely,Sometimes,Sometimes,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,"Mock file system queries/reads/writes, Mock network requests/responses, Store/load the state of a DAG",,Self-Managed Airflow on Kubernetes (using official Helm Chart),3,,"Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)","Senior team member, Technical supervisor (e.g software architect)",,
9/3/2024 20:13:34,"Logs are fragmented across different systems/components, Logs are non-existent or missing in some cases, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,"Stack traces are too complex and hard to follow, Stack traces are incomplete or missing critical information, Stack traces do not provide enough context about the DAG execution state",,2,,"Simplified and more readable stack traces, More detailed context about the state of the DAG and task at the time of failure, Better correlation between different logs and stack traces, Inclusion of specific suggestions or hints for resolving the issue, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure, Error messages are inconsistent across different components",,1,D,G,J,I,A,"Source code editor (e.g., VSCode, Sublime Text), Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse), Jupyter Notebooks",2,3,"Monitoring tools (e.g., Prometheus, Grafana), Debuggers (e.g., pdb, debugpy, PyCharm)",,"Formatters (e.g. Black, Ruff-format, autopep8)",Most,,4th,2nd,3rd,,Always,Always,Always,Always,Always,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications.",,"Mock file system queries/reads/writes, Mock network requests/responses, Mock dataset events, Store/load the state of a DAG, Ability to jump into a specific task/operator with a user-provided state",,"Self-Managed Airflow on Kubernetes (using official Helm Chart), Bare metal or VM-based install",2,,Advanced (made and debugged several DAGs over the last few years),"DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator), Airflow monitoring & availability (e.g. SRE, DevOps)",Senior team member,,
9/3/2024 22:22:27,"Logs are fragmented across different systems/components, Logs are difficult to search and filter, Logs are not aligned to technical layers/responsibilities (infrastructure, application, business logic)",,"Stack traces are incomplete or missing critical information, Stack traces do not provide enough context about the DAG execution state",,3,,"More detailed context about the state of the DAG and task at the time of failure, Better correlation between different logs and stack traces, Inclusion of specific suggestions or hints for resolving the issue, Enhanced visibility of nested errors and their causes, Integration with visualization tools to trace execution flow","Error messages are vague or non-specific, Error messages do not provide clear guidance on resolving issues, Error messages lack context or details about the failure",,2,G,B,A,D,E,"Integrated Development Environment (IDE) (e.g., PyCharm, Eclipse)",1,1,"Log management systems (e.g., ELK Stack, Splunk), Monitoring tools (e.g., Prometheus, Grafana)",,"Linters (e.g. Flake8, Ruff-lint, Mypy, Pylint), Formatters (e.g. Black, Ruff-format, autopep8)",3rd,4th,2nd,Most,Least,,Always,Always,Always,Always,Always,"An integrated terminal in the UI, An integrated debugger (for stepping, pause-on-error, workspace inspection and modification, etc.), A file explorer, Ability to make temporary/permanent changes to DAG code, potentially exporting as a new file., Integration with SCM platforms (e.g. GitHub, Bitbucket, GitLab) to streamline code modifications., Integration with task management platforms (e.g. Trello, Jira) to streamline the opening of feature/bug tickets.",,,,Bare metal or VM-based install,1,,"Advanced (made and debugged several DAGs over the last few years), Power user (made and debugged DAGs for several years using pdb, IDE or remote debuggers, etc.), Administrator (supported Airflow installations at a platform level)","DAG development (e.g. Data Engineer, Software Developer), Airflow administration (e.g. Administrator)",Senior team member,,
